topic_id,candidates,matched_cached,missing_cached
1,100,49,51
2,100,0,100
3,100,0,100
4,100,0,100
5,100,0,100
6,100,0,100
7,100,0,100
8,100,0,100
9,100,0,100
10,100,0,100
11,100,0,100
12,100,0,100
13,100,0,100
14,100,0,100
15,100,0,100
16,100,0,100
17,100,0,100
18,100,0,100
19,100,0,100
20,100,0,100
21,100,0,100
22,100,0,100
23,100,0,100
24,100,0,100
25,100,0,100
26,100,0,100
27,100,0,100
28,100,0,100
29,100,0,100
30,100,0,100
31,100,0,100
32,100,0,100
33,100,0,100
34,100,0,100
35,100,0,100
36,100,0,100
37,100,0,100
38,100,0,100
39,100,0,100
40,100,0,100
41,100,0,100
42,100,0,100
43,100,0,100
44,100,0,100
45,100,0,100
46,100,0,100
47,100,0,100
48,100,0,100
49,100,0,100
50,100,0,100
51,100,0,100
52,100,0,100
53,100,0,100
54,100,0,100
55,100,0,100
56,100,0,100
57,100,0,100
58,100,0,100
59,100,0,100
60,100,0,100
61,100,0,100
62,100,0,100
63,100,0,100
64,100,0,100
65,100,0,100
66,100,0,100
67,100,0,100
68,100,0,100
69,100,0,100
70,100,0,100
71,100,0,100
72,100,0,100
73,100,0,100
74,100,0,100
75,100,0,100
